,object_appearance_quality_annotator_1,object_visibility_annotator_1,id,text,dataset,vael,linguistic_cue_annotator_1,completely_missing_type_annotator_1,other_ta2_annotator_1,other_ta1_annotator_1,object_visibility_annotator_2,linguistic_cue_annotator_2,other_ta2_annotator_2,object_appearance_quality_annotator_2,completely_missing_type_annotator_2,other_ta1_annotator_2
166,,['option3'],redcaps/pics/7nc0xr,taking care of my brother's dumbass evil cat is more of a hostage situation than babysitting...,redcaps,cat,['option9'],,,,['option3'],['option9'],,,,
167,,['option3'],redcaps/pics/a8b21,the worlds oldest remote control,redcaps,remote,"['option1', 'option2', 'option8']",,,,['option3'],"['option2', 'option5']",['offensive'],,,
168,,['option3'],redcaps/pics/bq3oi,what apple tos 4.1.1 will look like,redcaps,apple,"['option6', 'option7']",,,,['option3'],['option6'],,,,
169,,['option3'],redcaps/pics/bt2ro0,what today looked like for a middle-aged hillbilly with an old cell phone camera,redcaps,cell phone,"['option9', 'option4']",,,,['option3'],"['option9', 'option4']",,,,
170,,['option3'],redcaps/pics/i2p6x,:d let me hold your toothbrush for you!,redcaps,toothbrush,['option2'],['option1'],,,['option3'],,,,['option1'],
171,['option3'],['option1'],redcaps/pics/jk4h4,why don't remote control manufacturers implement a feature like this?,redcaps,remote,,,,,['option1'],,,['option3'],,
172,['option1'],['option1'],redcaps/pics/lds9m,this is what happens when a toaster breaks at wb games qa.,redcaps,toaster,,,,,['option1'],['option9'],,['option3'],,
173,"['option1', 'option2']",['option1'],redcaps/pics/n8952,just a botfly larva emerging from a mouse.,redcaps,mouse,,,,,['option1'],,,['option2'],,
174,,['option3'],redcaps/pics/puk9u,umbrella corporation is now experimenting in the flower industry.,redcaps,umbrella,['option7'],['option1'],,,['option3'],"['option2', 'option5']",['humor'],['option3'],,
175,,['option2'],redcaps/pitbulls/co9xu1,when you show da humans how to drive da boat,redcaps,boat,,['option1'],,,['option2'],,,['option1'],,
176,['option2'],['option4'],redcaps/pottery/dgn1y8,can you id who's mark this is please. it's on a small earthenware vase shaped pot.,redcaps,vase,,,,,['option2'],,,"['option2', 'option3']",['option2'],
177,,['option3'],redcaps/pourpainting/dh2rmt,"""saturdayz"" //flip cup pour",redcaps,cup,"['option9', 'option3']",,,,['option4'],,,,,
178,,['option3'],redcaps/pugs/u6voa,just a pug dog sleeping in a moving truck with his tail in his water bowl.,redcaps,truck,['option4'],,,,['option3'],"['option9', 'option4']",,['option1'],,
179,,['option3'],redcaps/rabbits/9yfsgn,"they caught my eye as they ran across the path in front of my car, couple seconds later they're on top of the bush for munching",redcaps,car,['option4'],,,,['option3'],"['option1', 'option4', 'option5']",['text describes content beyond the image'],,,
180,['option3'],['option1'],redcaps/rabbits/kn194o,marvin discovers the real carrot wedged in his toy,redcaps,carrot,,,,,['option2'],['option6'],,['option3'],,
181,['option3'],['option1'],redcaps/rarepuppers/ax0g04,donut pupper,redcaps,donut,,,,,['option1'],['option3'],,['option3'],,
182,,['option3'],redcaps/reeftank/9lysed,hypselodoris zebra nudibranch,redcaps,zebra,['option7'],,,,['option1'],,,['option4'],,['rare category']
183,,['option3'],redcaps/samoyeds/18zlyk,enzo watching the puppy bowl.,redcaps,bowl,['option7'],,,,['option3'],"['option3', 'option6', 'option7']",,,,
184,,['option1'],redcaps/sewing/2xr9op,earth's mightiest handbag!,redcaps,handbag,,,,,['option1'],,,['option3'],,
185,"['option1', 'option3']",['option1'],redcaps/snails/gwln1k,eglantine surfin it up on her surfboard ,redcaps,surfboard,,['option1'],,,['option1'],['option4'],,['option3'],,
186,,['option3'],redcaps/sneakers/5uzv1d,bear versus wolf,redcaps,bear,,,,,['option3'],['option2'],,,,
187,,['option3'],redcaps/sneakers/6ol261,set fire to the train,redcaps,train,"['option9', 'option2']",,,,['option3'],"['option9', 'option2']",,,,
188,,['option3'],redcaps/somethingimade/37r7pq,mid-century style dog bed,redcaps,dog,['option3'],,,,['option3'],['option3'],,,,
189,,['option3'],redcaps/succulents/42v14z,need help identifying to determine cat friendliness,redcaps,cat,"['option9', 'option3']",,,,['option3'],"['option9', 'option3']",['text talks about something beyond the image'],,,
190,,['option3'],redcaps/succulents/9m2woh,hopping on the blooming butts train,redcaps,train,"['option2', 'option3', 'option6']",,,,['option3'],['option6'],,,,
191,,['option3'],redcaps/succulents/bq6cgg,horse crippler cactus i saw yesterday,redcaps,horse,['option7'],,,,['option3'],"['option3', 'option6', 'option7']",,,,
192,['option3'],['option1'],redcaps/thriftstorehauls/bkh8mx,hello kitty toaster brand new. it puts a hello kitty image on the toast!,redcaps,toaster,['option3'],,,,['option1'],,,['option3'],,
193,,['option1'],redcaps/thriftstorehauls/cu6il8,"1970's free former skateboard with all original wheels and trucks for $3.99. needs some love, but a unique find for me.",redcaps,skateboard,,,,,['option1'],,,,,
194,,['option3'],redcaps/trucks/3mx8t7,"just got back from the river. friend sank his truck pulling his boat out. long story short, rip this beast.",redcaps,boat,['option1'],,,,['option3'],['option9'],,,,
195,"['option3', 'option4']",['option1'],redcaps/veganrecipes/iyjqjq,vegan apple crisp,redcaps,apple,,,,['Object is deformed/in a processed state'],['option1'],['option3'],,['option2'],,
196,,['option3'],redcaps/vinyl/1b2q3c,greensleeves record i found in my dads collection- eek a mouse and flick wilson,redcaps,mouse,"['option2', 'option6', 'option7']",,,,['option3'],"['option2', 'option7']",,,,
197,,['option3'],redcaps/wildlifephotography/7a1sue,immature brahminy kite chased by a wood swallow,redcaps,kite,"['option3', 'option6']",['option1'],,,['option1'],['option6'],,,,
198,,['option3'],redcaps/wildlifephotography/kduruf,saw a moose on a remote hike in bc in the monashee mountains!,redcaps,remote,['option6'],,,,['option2'],['option9'],,['option2'],,
199,['option3'],['option4'],redcaps/woodworking/jdyak9,"it is not a normal color, a bench, rough flattening, ask and i'll shall deliver no matter how heinous. #softmaple #neckarthitus",redcaps,bench,,,,,['option1'],,,['option3'],,
200,,['option3'],sbucaps/1022948325_f7301f6207,city girl in a cow town station,sbucaps,cow,"['option9', 'option3', 'option4']",['option1'],,,['option3'],"['option2', 'option3', 'option4']",,,['option1'],
201,,['option3'],sbucaps/1471631193_e20aa1ecc6,"detail of flowers near the road, at the stop sign",sbucaps,stop sign,"['option9', 'option4']",,,,['option3'],"['option9', 'option4']",,,,
202,,['option3'],sbucaps/1535294562_0687350efd,This is the bridge that crosses the walkway to the dog park in Piedmont Park in Atlanta. Viewed from the front with the dog park in the back.,sbucaps,dog,['option3'],,,,['option3'],['option3'],,,['option1'],
203,"['option1', 'option2']",['option4'],sbucaps/174052527_5cd12aa9d5,me in the ice cream truck goin by collins house,sbucaps,truck,,,,,['option2'],"['option9', 'option3', 'option4']",,"['option1', 'option2']",,
204,"['option1', 'option2']",['option1'],sbucaps/178657153_39e0a50f45,"Dall Sheep. The sheep are hard to see but, they are the little white dots near the top of the mountain.",sbucaps,sheep,,,,,['option1'],,,"['option2', 'option3']",,
205,"['option1', 'option2']",['option4'],sbucaps/186423207_aca47f5e92,"Laura plants some cake in Andrew's face, then does a touchdown dance.",sbucaps,cake,,,,,['option2'],['option9'],,"['option1', 'option2']",['option1'],
206,,['option3'],sbucaps/193315353_de5ef462f2,Wed 19/07/2006 13:46 19072006 1.20 euro for 33cl of water that don't fit in the cup holder. :(,sbucaps,cup,['option3'],,,,['option3'],"['option3', 'option4', 'option5']",['VAEL object is nearby but not in the frame'],,['option2'],
207,"['option1', 'option2', 'option3']",['option2'],sbucaps/2048097161_98b879968e,i'm leaving on a jet plane tomorrow for sweet home alabama. too bad my leopard won't fit in my suitcase.:(,sbucaps,suitcase,['option4'],,,,['option2'],['option4'],,"['option1', 'option2']",,
208,,['option3'],sbucaps/2081995558_5377b862b4,the hole above the oven is for the microwave,sbucaps,microwave,"['option9', 'option4']","['option1', 'option2']",,,['option3'],['option5'],['missing object (that should be in the image) named'],,"['option1', 'option2']",
209,['option3'],['option2'],sbucaps/2200143996_4fd11467f7,notice the attack dog sign in the background - something bad is going on here,sbucaps,dog,['option3'],,,,['option1'],"['option9', 'option3']",,['option3'],,
210,,['option3'],sbucaps/2238691776_ccfb019ec5,We had to tie a door to the roof of Meghan's car in the rain. Boo.,sbucaps,tie,['option6'],,,,['option3'],['option6'],,,,
211,['option1'],['option2'],sbucaps/2304445109_ca26b64224,stuffed animal & sewing backpack - in 2nd box under ice melter,sbucaps,backpack,,,,,['option1'],,,['option3'],,
212,"['option1', 'option2']",['option2'],sbucaps/2360969394_ef9562db44,Please turn off your mobile sign in an airplane,sbucaps,airplane,['option4'],,,,['option2'],['option4'],,"['option1', 'option2']",,
213,,['option3'],sbucaps/2397085627_af1f0f9366,Stac in her &amp;quot;don't loose me&amp;quot; orange shirt leads the kids back down the canyon to return to our car.,sbucaps,orange,['option6'],,,,['option3'],['option6'],,,,
214,['option1'],['option4'],sbucaps/2464307199_037ae913ca,4 May 2008. dinner: veggie pizza. Straight out of the box in the oven :D,sbucaps,pizza,['option9'],,,,['option2'],,,['option1'],,
215,,['option3'],sbucaps/2468635885_da1af815c4,An old barn and sheep herding gate near my house,sbucaps,sheep,['option3'],['option1'],,,['option3'],['option3'],,,['option1'],
216,,['option3'],sbucaps/2568377634_a3eff77521,"I walked into the bedroom to find this little person asleep, under the covers, on MY pillow!",sbucaps,person,['option2'],"['option1', 'option2']",,,['option3'],['option2'],,,"['option1', 'option2']",
217,,['option3'],sbucaps/2571579959_12a8a7bffe,Dad's futile attempt to get the couch into the living room by removing the trim from the door frame.,sbucaps,couch,['option9'],['option1'],,,['option3'],,,,"['option1', 'option2']",
218,,['option3'],sbucaps/2583611877_2bb3a13769,oriental pearl tv tower in low cloud,sbucaps,tv,['option3'],,,,['option3'],['option3'],,,['option1'],
219,,['option3'],sbucaps/2587977328_af71301281,playing in the grass while daddy washes the car,sbucaps,car,['option9'],,,,['option3'],['option9'],,,['option1'],
220,,['option3'],sbucaps/2612206758_e937ff8e0d,"The skeleton of a sheep, seen in a field by the river Leven",sbucaps,sheep,['option9'],,,,['option3'],,,,"['option1', 'option2']",
221,['option1'],['option1'],sbucaps/2612682174_5a1cc4e0de,2 yr. old Olivia feeding her goat by a bottle,sbucaps,bottle,,,,,['option1'],['option4'],,['option3'],,
222,['option3'],['option1'],sbucaps/2694967390_d636a6238c,man in brown with flying tie,sbucaps,tie,,,,,['option1'],,,"['option2', 'option3']",,
223,,['option3'],sbucaps/2699636422_eddd661181,"A just-finished painting, in my easel's new position. No more clothes horse there, yay :)",sbucaps,horse,"['option3', 'option6']",,,,['option3'],"['option2', 'option6']",,,,
224,,['option3'],sbucaps/2756027772_ecb3abb1c8,big bear lake in wv. near bruceton mills.,sbucaps,bear,"['option2', 'option3', 'option7']",['option1'],,,['option3'],"['option3', 'option7']",,,['option1'],
225,,['option3'],sbucaps/2760323372_10683a8231,The girl in front was abandoned at the local train station.,sbucaps,train,"['option1', 'option3', 'option4']",,,,['option3'],"['option9', 'option3', 'option4']",,,,
226,,['option3'],sbucaps/2811492605_42535df49c,Meanwhile in the kitchen maid Fabienne bakes a cake with whipped cream.,sbucaps,cake,,['option1'],,,['option3'],['option5'],['VAEL will appear in the future (in the process of being made)'],,"['option1', 'option2']",
227,,['option1'],sbucaps/2831210259_8da102c7fa,Caleb won the break into the van race by popping off the window hinge pin with scissors. Mcgiver.,sbucaps,scissors,,,,,['option3'],"['option1', 'option9', 'option4']",,,,
228,,['option3'],sbucaps/2861105000_5c66ceb924,"A rusty canal boat rudder, seen beside the Leeds and Liverpool Canal.",sbucaps,boat,['option3'],['option1'],,,['option3'],['option3'],,,['option1'],
229,,['option3'],sbucaps/290306833_76c4919a09,Seeing your boat sink must be the hardest thing in the world...,sbucaps,sink,"['option9', 'option6']",,,,['option3'],['option6'],,,,
230,,['option3'],sbucaps/2917032778_e58de272b4,We walked by this awesome pink elephant car wash sign - I just love it!,sbucaps,elephant,"['option2', 'option3', 'option7']",,,,['option1'],['option3'],,['option3'],,
231,,['option3'],sbucaps/292739674_05c4b832fa,These signs are blurry in person too...,sbucaps,person,"['option9', 'option2', 'option6']",,,,['option3'],"['option2', 'option4', 'option6']",,,['option1'],
232,,['option3'],sbucaps/2928268351_72331d5efa,Our little yellow friend leaving hospital in his car seat,sbucaps,car,"['option3', 'option4']",['option1'],,,['option3'],"['option3', 'option4']",,,['option1'],
233,,['option3'],sbucaps/2928802954_5af2c0fd16,elephant super car wash in seattle - from car window.,sbucaps,elephant,"['option2', 'option3', 'option7']",,,,['option1'],"['option9', 'option3', 'option7']",,"['option2', 'option3']",,
234,"['option1', 'option2', 'option3']",['option2'],sbucaps/2949148327_767c0fbf5b,"Lastnight's Dinner: Rainbow trout stuffed with mushroom, carrot, thyme sprigs, onion and lemon in a white wine sauce",sbucaps,carrot,,,,,['option1'],,,['option1'],,
235,,['option3'],sbucaps/295516198_fdc626ed75,A broken glass window of a train compartment in India.,sbucaps,train,['option3'],,,,['option3'],"['option3', 'option4']",,"['option1', 'option2']",['option1'],
236,['option3'],['option1'],sbucaps/2961209606_2b68e928bb,all the decoration on top of the cake are hand made by kids. 7 years YQ did the yellow carrot.,sbucaps,carrot,,,,,['option1'],,,['option3'],,
237,,['option3'],sbucaps/2999956848_b2862bf804,This baobab tree was damaged by an elephant that scraped its trunk in search of water. Tarangire National Park,sbucaps,elephant,"['option1', 'option9']",['option1'],,,['option3'],"['option1', 'option9']",,,['option1'],
238,,['option3'],sbucaps/3038350794_0d580615b1,Oliver loves to lay in this chair while we sprawl out on the couch watching movies.,sbucaps,couch,"['option9', 'option4']","['option1', 'option2']",,,['option3'],"['option9', 'option4']",,,"['option1', 'option2']",
239,,['option3'],sbucaps/3073583834_5d34d2cd70,"The whole of Manhattan, in one airplane window",sbucaps,airplane,"['option3', 'option4']",,,,['option3'],['option4'],,,['option1'],
240,['option1'],['option2'],sbucaps/3149397956_019fac7b20,Sitting in the bathroom sink,sbucaps,sink,['option4'],,,,['option1'],['option4'],,['option1'],,
241,,['option3'],sbucaps/3162772086_c3125725eb,just a random picture i took of caleb in his car seat,sbucaps,car,"['option3', 'option4']",,,,['option2'],"['option3', 'option4']",,"['option1', 'option2']",['option1'],
242,,['option3'],sbucaps/3164057235_a4546df8e0,A large tree down by the river - BW with orange filter,sbucaps,orange,"['option4', 'option6']",,,,['option3'],"['option9', 'option6']",,,,
243,,['option3'],sbucaps/318040101_976637adca,There's a bird sitting on a patio above him,sbucaps,bird,['option9'],,,,['option3'],['option9'],,,['option1'],
244,"['option1', 'option3']",['option1'],sbucaps/3193265945_5c579f4295,Bricks in bus window,sbucaps,bus,['option3'],,,,['option2'],,,"['option1', 'option2', 'option3']",,
245,"['option1', 'option2', 'option3']",['option2'],sbucaps/322842204_f59d52232b,"This wee, artificial christmas tree sits in a coffee cup and has buttons sewn on its branches. Precious! :)",sbucaps,cup,"['option3', 'option4']",,,,['option2'],['option4'],,"['option1', 'option2']",,
246,,['option3'],sbucaps/3256481214_ffbf4859b4,All this freaking plastic for a cell phone SIM card. Never mind that it was over-nighted in a cardboard box...,sbucaps,cell phone,"['option3', 'option4']",,,,['option3'],['option3'],,,['option1'],
247,,['option3'],sbucaps/3275459526_c5583624d7,spinning in my desk chair,sbucaps,chair,"['option9', 'option4']",,,,['option3'],"['option9', 'option4', 'option5']",['VAEL is nearby but not in frame'],,['option1'],
248,['option3'],['option2'],sbucaps/3290200337_c2e28707ed,"Hot Dog Johnny's neon hot dog sign on Route 46 in Buttzville, NJ. Fresh buttermilk and Birch Beer on tap!",sbucaps,hot dog,['option3'],,,,['option3'],"['option9', 'option3']",,,['option1'],
249,,['option3'],sbucaps/3304101598_027a7331dd,epoxy bar top. It looks real yummy in person,sbucaps,person,"['option9', 'option2', 'option6']",,,,['option3'],"['option9', 'option2', 'option4', 'option6']",,,,
250,,['option3'],sbucaps/3339609238_5a012e35d2,These caterpillars on a Passion Fruit Leaf appear to be sitting around a dining table for their dinner.,sbucaps,dining table,['option2'],,,,['option3'],"['option2', 'option4']",,,['option1'],
251,,['option3'],sbucaps/3342538257_099b6da5c4,"A baby in a stroller in these colorful socks, with a dog obnoxious as hell",sbucaps,dog,"['option9', 'option4']",,,,['option3'],['option9'],,,['option1'],
252,,['option3'],sbucaps/3500599286_a74f91ea7f,Other Earth Day activities:Planting a little apple tree in kindergarten's yard,sbucaps,apple,['option3'],['option1'],,,['option3'],"['option9', 'option3']",,,"['option1', 'option2']",
253,"['option1', 'option2']",['option2'],sbucaps/3523022719_417a2c8b1a,6am requires teddy white blanket in the car,sbucaps,car,['option4'],,,,['option2'],"['option9', 'option4']",,"['option1', 'option2']",['option1'],
254,,['option3'],sbucaps/354570636_a7c289a89a,"Ummm, you're laying in cake now! Oh my gosh! Get out the floor buffer! Holla!",sbucaps,cake,"['option2', 'option4']","['option1', 'option2']",,,['option3'],"['option9', 'option4']",,,,
255,['option3'],['option1'],sbucaps/3575273612_5568e2c9a5,Taken from a De Havilland Chipmunk in 1953. This horse is carved into a chalk hill in England.,sbucaps,horse,,,,,['option1'],['option9'],,['option3'],,
256,,['option3'],sbucaps/3667180031_d22fba016d,walk way under the clock tower at sunrise,sbucaps,clock,"['option3', 'option4']",,,,['option3'],"['option3', 'option4']",,,['option1'],
257,,['option3'],sbucaps/3697915470_865dea2864,"Tenatcity skateboard park at Slocan city near Nelson. This bowl is wonderful with concrete, rock and metal coping.",sbucaps,skateboard,['option2'],,,,['option2'],['option3'],,"['option1', 'option2']",,
258,"['option1', 'option2']",['option2'],sbucaps/3891814069_234b9cb175,My bike in the train,sbucaps,train,['option4'],,,,['option2'],['option4'],,"['option1', 'option2']",,
259,,['option3'],sbucaps/3906726904_e3343e68cf,A bad shot underneath the kitchen sink,sbucaps,sink,"['option9', 'option4']",,,,['option3'],['option4'],,,['option1'],
260,,['option1'],sbucaps/392983311_bbfa75e3bf,beside the orange plant,sbucaps,orange,,,,,['option1'],"['option3', 'option4']",,['option3'],,
261,"['option2', 'option3']",['option1'],sbucaps/3987092094_342a0160e1,"Labourers unloading a truck piled deep with coconuts, carting them basket by basket to vendors and middlemen inside the market.",sbucaps,truck,,,,,['option2'],['option9'],,"['option1', 'option2']",,
262,"['option1', 'option2']",['option2'],sbucaps/3999510377_cffe2d3569,"Notice, no windows in our tour bus",sbucaps,bus,"['option3', 'option4']",,,,['option2'],['option4'],,"['option1', 'option2']",,
263,,['option3'],sbucaps/4038368833_5db758f06a,"in brown stripes, orange yoke &amp;amp; contrast band at the bottom",sbucaps,orange,['option6'],,,,['option3'],['option6'],,,,
264,,['option3'],sbucaps/4054091224_4d2269b8cf,Relaxing under a palm tree on remote beach,sbucaps,remote,"['option4', 'option6']",,,,['option3'],"['option4', 'option6']",,,,
265,,['option3'],sbucaps/408336282_cf50655955,I took this photo sitting in the driver's seat of my car. There were rain drops on my windshield.,sbucaps,car,['option4'],['option1'],,,['option3'],['option4'],,,['option1'],
266,"['option1', 'option3']",['option2'],sbucaps/4083834391_1b052797cb,Bostons reflected in truck side view mirror,sbucaps,truck,,,,,['option2'],"['option3', 'option4']",,"['option1', 'option2']",['option1'],
267,"['option1', 'option2']",['option2'],sbucaps/4144169423_31b509d677,Coach behind drivers seat in bus,sbucaps,bus,['option4'],['option1'],,,['option2'],['option4'],,"['option1', 'option2']",,
268,['option3'],['option1'],sbucaps/4170864879_7ae8f4bbfd,dark grapes and yellow pears in a vase on white background,sbucaps,vase,,,,,['option2'],['option4'],,['option1'],,
269,,['option3'],sbucaps/4248533797_f9b205f51f,"South of Spring Arbor, On the old railroad bed this old telephone pole stands watch over the lake",sbucaps,bed,"['option3', 'option4', 'option6']",,,,['option3'],"['option4', 'option6']",,,,
270,"['option1', 'option2', 'option3']",['option2'],sbucaps/4277798120_4e3594d44c,Black and white pebbles in glass bowl (2010) 15/365,sbucaps,bowl,"['option3', 'option4']",,,,['option2'],['option4'],,"['option1', 'option2']",,
271,,['option3'],sbucaps/432092055_b3a3ed596d,theres grizzly bear mountain.. ohhh and lets count the 4wd's in the car park - 6/9. and theres even an expedition there..,sbucaps,bear,"['option2', 'option3', 'option7']",,,,['option3'],"['option3', 'option7']",,,,
272,,['option3'],sbucaps/4325253905_82403aaa65,cat in the hat,sbucaps,cat,['option7'],,,,['option3'],['option2'],,,,
273,"['option1', 'option2']",['option2'],sbucaps/4338996292_b857ec5fa8,Lucy's favorite seat in the car,sbucaps,car,['option4'],,,,['option2'],['option4'],,"['option1', 'option2']",,
274,"['option1', 'option3']",['option1'],sbucaps/4347734073_2273977129,Homemade cup cake by Elaine,sbucaps,cup,['option3'],,,,['option3'],"['option3', 'option6']",,,['option2'],
275,,['option3'],sbucaps/4432461782_616e7b2c36,painted very quickly while fighting off spiders &amp;amp; trying to keep my water clean &amp;amp; the dog close by,sbucaps,dog,"['option1', 'option9', 'option4']",,,,['option3'],['option9'],,,,
276,,['option3'],sbucaps/4496773376_8fe20c911e,i found these vivid fungi by a small pool growing on a bed of moss at mortimer cross watermill,sbucaps,bed,"['option4', 'option6']",,,,['option3'],"['option2', 'option4', 'option6']",,,,
277,['option1'],['option4'],sbucaps/4559408510_625079a1cc,white wine vinegar bottle ... with the stopper ... in the bottle,sbucaps,bottle,,,,,['option1'],,,['option2'],,
278,,['option3'],sbucaps/4633202662_2cf38967aa,I assume it is a cat that has been sleeping in my shrub!,sbucaps,cat,['option9'],,,,['option3'],"['option1', 'option9']",,,,
279,['option3'],['option1'],sbucaps/465507053_5f5c771d5c,Created by Chef Lauri; Concept: Lizzie le chatChocolate train with red velvet cake,sbucaps,train,['option3'],,,,['option1'],,,['option3'],,
280,,['option3'],sbucaps/4786798628_7a73af2b5c,Rappy- in next door bird table,sbucaps,bird,"['option3', 'option4']",['option2'],,,['option3'],"['option3', 'option4']",,,['option1'],
281,"['option1', 'option3']",['option1'],sbucaps/4793416368_3e06f9a761,wk5 ~ #1 reading in motion ~ book shelf,sbucaps,book,['option3'],,,,['option2'],"['option9', 'option3']",,['option3'],['option1'],
282,,['option3'],sbucaps/479697536_3f59099642,cake in the box. the box is smelly x.x,sbucaps,cake,['option2'],,,,['option1'],['option9'],,"['option1', 'option2']",,
283,,['option3'],sbucaps/4797793750_ae3be2746c,"when the cat isn't napping in my suitcase, she's napping on my computer",sbucaps,suitcase,"['option9', 'option4']",,,,['option3'],"['option9', 'option4']",,,,
284,,['option1'],sbucaps/4867843968_d2f4a23e9b,This is what goes down when I begin to think that actually sitting in a chair is too traditional.,sbucaps,chair,,,,,['option2'],"['option9', 'option4']",,['option1'],,
285,,['option1'],sbucaps/48977218_f4383c69b5,One of the banana trees was an unfortunate victim of my neighbour's recent conflagration. Nowhere near a six-foot bunch though...,sbucaps,banana,,,,,['option1'],"['option9', 'option3']",,['option3'],,
286,['option3'],['option1'],sbucaps/4946589505_700cbfa682,In this photo we could see a picture of the wooden boat found in the temple grounds.,sbucaps,boat,,,,,['option1'],,,"['option1', 'option2', 'option3']",,
287,['option1'],['option1'],sbucaps/4983559782_73fd4d8cc4,Big truck coming up the mountain side on Route 17 in Vermont,sbucaps,truck,,,,,['option1'],['option9'],,['option1'],,
288,['option3'],['option1'],sbucaps/5002497719_5ae1a37da0,Trafalgar Square - giant ship in a bottle on the fourth plinth,sbucaps,bottle,,,,,['option1'],['option4'],,['option3'],,
289,,['option3'],sbucaps/5134257222_ea4bc66693,cat in the hat,sbucaps,cat,"['option2', 'option7']",,,,['option3'],"['option2', 'option7']",,,,
290,,['option3'],sbucaps/5337124016_4036836a9a,Farm in tuscumbia -Marcus on field trip and pizza for lunch,sbucaps,pizza,['option9'],,,,['option3'],['option9'],,,,
291,,['option3'],sbucaps/5360090841_8aabb4562f,40cm white umbrella on front with Nikon SB-80DX at 1:1 power. Natural sun over windows on right.,sbucaps,umbrella,"['option9', 'option4']",,,,['option3'],"['option9', 'option5']",['text describes circumstance of taking the image'],,,
292,,['option3'],sbucaps/5371208601_bdef13ff16,A traditional Khmer dish of catfish steamed in banana leaves and morning glory.,sbucaps,banana,['option3'],,,,['option3'],"['option3', 'option4']",,,"['option1', 'option2']",
293,['option3'],['option1'],sbucaps/5516741585_9bd9efd7b5,the potted plant in the bedroom window!,sbucaps,potted plant,['option2'],,,,['option1'],,,['option3'],,
294,"['option1', 'option2']",['option2'],sbucaps/5517747463_d8712cf4b2,Contortionist Smudge Snoozes under the dining table 2010,sbucaps,dining table,['option4'],,,,['option2'],['option4'],,"['option1', 'option2']",,
295,,['option3'],sbucaps/556388268_d5ad0e4c30,From bus window in the evening (7:46 PM),sbucaps,bus,"['option3', 'option4']",,,,['option3'],['option4'],,,,
296,['option1'],['option1'],sbucaps/582582257_00668381a4,"The dress is vintage, handbag is also vintage by Gucci, shoes by Go Max. Need I say more.",sbucaps,handbag,,,,,['option2'],,,['option1'],,
297,['option3'],['option1'],sbucaps/64353373_5ae92c623e,the girl in the pink outfit with the skateboard,sbucaps,skateboard,['option4'],,,,['option1'],['option4'],,['option3'],,
298,"['option1', 'option2']",['option2'],sbucaps/7054204_f9aa58753f,Old Crow dog in the truck box,sbucaps,truck,['option3'],,,,['option4'],"['option3', 'option4']",,,['option1'],
299,,['option3'],sbucaps/858291849_e503853392,yellow bird in a giraffe tree,sbucaps,giraffe,['option3'],['option1'],,,['option3'],"['option3', 'option6']",,,['option1'],
